Sr No,Categories,Subcategories
1,Travel,Airline Travel
1,Travel,Hotel
1,Travel,Markets
1,Travel,Shopping
,Travel,Frequent flyer
,Travel,Places
2,Entertainment,hindi/bollywood
2,Entertainment,english/music
2,Entertainment,english/hollywood
2,Entertainment,hindi/music
,,
2,Entertainment,Television
3,Business,international-business
3,Business,india-business
3,Business,mf-simplified
3,Business,markets
3,Business,india-business
4,Tech,apps
4,Tech,gaming
,,
4,Tech,PCs
4,Tech,mobiles
4,Tech,computing
,,
4,,
5,Life-Style,fashion
,,
5,Life-Style,beauty
5,Life-Style,health-fitness
5,Life-Style,home-garden
5,Life-Style,food
5,Life-Style,beauty
,,
,,
,,
,,
,Life-Style,Clothes&accessories
6,Sports,hockey
6,Sports,football/
6,Sports,tennis
6,Sports,football/epl
,,
,,
,,
6,Sports,ipl
,,
,,
,,
,,
,,
6,Sports,badminton
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
6,Sports,cricket
,,
7,Nation/Politics,india-news
7,Nation/Politics,india/politics
,,
8,Religon,
,,
,,
9,Astronomy,
