accent_cameleon_h1_2014_august,0,,accent,accent cameleon h1,,2014 august,,Accent Cameleon H1
acer_e140_2011_january,1,,acer,acer e140,,2011 january,,Acer E140
acer_e350_2012_december,2,,acer,acer e350,,2012 december,,Acer E350
acer_e380_2014_april,3,,acer,acer e380,,2014 april,,Acer E380
acer_e39_2014_october,4,,acer,acer e39,,2014 october,,Acer E39
acer_liquid_z500_2014_september,5,,acer,acer liquid z500,,2014 september,,Acer Liquid Z500
acer_m220_2015_march,6,,acer,acer m220,,2015 march,,Acer M220
acer_s500_2012_june,7,,acer,acer s500,,2012 june,,Acer S500
acer_s510_2013_june,8,,acer,acer s510,,2013 june,,Acer S510
acer_s57_2015_march,9,,acer,acer s57,,2015 march,,Acer S57
acer_s58a_2015_october,10,,acer,acer s58a,,2015 october,,Acer S58A
acer_v360_2012_december,11,,acer,acer v360,,2012 december,,Acer V360
acer_z150_2014_january,12,,acer,acer z150,,2014 january,,Acer Z150
acer_z200_2014_september,13,,acer,acer z200,,2014 september,,Acer Z200
acer_z205_2014_december,14,,acer,acer z205,,2014 december,,Acer Z205
acer_z3_2013_september,15,,acer,acer z3,,2013 september,,Acer Z3
acer_z410_2015_february,16,,acer,acer z410,,2015 february,,Acer Z410
acer_z520_2015_april,17,,acer,acer z520,,2015 april,,Acer Z520
advan_s4__2014_august,18,,advan,advan s4 ,,2014 august,,Advan S4 
advan_s5e_2012_october,19,,advan,advan s5e,,2012 october,,Advan S5E
airis_tm520_2012_october,20,,airis,airis tm520,,2012 october,,Airis Tm520
airis_tm54qm_2014_october,21,,airis,airis tm54qm,,2014 october,,Airis Tm54Qm
ais_iris_510_2015_may,22,,ais,ais iris 510,,2015 may,,Ais Iris 510
ais_iris_800_2015_february,23,,ais,ais iris 800,,2015 february,,Ais Iris 800
ais_lava_a1_2015_october,24,,ais,ais lava a1,,2015 october,,Ais Lava A1
akai_leon_quadra_2013_september,25,,akai,akai leon quadra,,2013 september,,Akai Leon Quadra
alcatel_4003a_2013_september,26,,alcatel,alcatel 4003a,,2013 september,,Alcatel 4003A
alcatel_4009a_2015_may,27,,alcatel,alcatel 4009a,,2015 may,,Alcatel 4009A
alcatel_4009d_2015_may,28,,alcatel,alcatel 4009d,,2015 may,,Alcatel 4009D
alcatel_4009e_2015_may,29,,alcatel,alcatel 4009e,,2015 may,,Alcatel 4009E
alcatel_4009x_2015_may,30,,alcatel,alcatel 4009x,,2015 may,,Alcatel 4009X
alcatel_4013d_2015_may,31,,alcatel,alcatel 4013d,,2015 may,,Alcatel 4013D
alcatel_4013k_2015_may,32,,alcatel,alcatel 4013k,,2015 may,,Alcatel 4013K
