Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
BIHAR,PATNA,EZBRGYABODHGYA,Bodha gaya  Patna,Historical Site,,701
ORISSA,BHUBANESWAR,EZORBBRPJNTBTS,Badadanda,Municipality,,241
ORISSA,BHUBANESWAR,EZORBBRSTKONRK,Sun Temple,Historical Site,Temple,2
UTTAR PRADESH (EAST),VARANASI,NZUEVRSGHATBSN,Ghat,Municipality,,2110
UTTAR PRADESH (EAST),VARANASI,NZUEVRSSARNATH,Dhammekh Stupa,Historical Site,,1491
UTTAR PRADESH (WEST),AGRA,NZUWAGRFATPRSK,Fatehpur Sikrii,Historical Site,,2
UTTAR PRADESH (WEST),AGRA,NZUWAGRTAJMHAL,Taj Mahal,Historical Site,,1152
ANDHRA PRADESH,ADILABAD,SZAPADBRTCBSTD,TSRTC BUS STANDS,Bus Terminal,,3024
ANDHRA PRADESH,ANANTPUR,SZAPATPANTRCLB,Anantapur Club.,Club,,126
ANDHRA PRADESH,ANANTPUR,SZAPATPAPSRTCB,Ananthpur Bus stand,Bus Terminal,,7881
ANDHRA PRADESH,CUDDAPAH,SZAPCDPAPSRTCB,Cuddapah APSRTC,Bus Terminal,,2050
ANDHRA PRADESH,TIRUPATI,SZAPCHTAIRPORT,Tirupathi Airport,Airport,,986
ANDHRA PRADESH,Chittor,SZAPCHTBGPTBTS,Bhairagipateda BTS ,Telephone exchange,,214
ANDHRA PRADESH,Chittor,SZAPCHTBLJIBTS,Balaji colony BTS Tirupathi,Telephone exchange,,571
ANDHRA PRADESH,Chittor,SZAPCHTBVNIBTS,Bhavani nagar BTS Tirupath,Telephone exchange,,
ANDHRA PRADESH,Chittor,SZAPCHTESEVASK,E-Seva Srikalahasthi.,Municipality,,338
ANDHRA PRADESH,Chittor,SZAPCHTKRGTBTS,Korlagunta BTS Tirupathi,Telephone exchange,,694
ANDHRA PRADESH,Chittor,SZAPCHTPDPMBTS,Padmavathipuram BTS Tirupathi,Telephone exchange,,50
ANDHRA PRADESH,Chittor,SZAPCHTPGLRBTS,Panagal Road BTS Srikalahasthi,Telephone exchange,,119
ANDHRA PRADESH,Chittor,SZAPCHTTMNEXNG,Main Exchange Tirupathi,Telephone exchange,,444
ANDHRA PRADESH,TIRUPATI,SZAPCHTTPTYEBS,Edukondalu Bus stand,Bus Terminal,,431
ANDHRA PRADESH,TIRUPATI,SZAPCHTTPTYHBS,Sri Hari Bus stand,Bus Terminal,,1447
ANDHRA PRADESH,TIRUPATI,SZAPCHTTPTYSBS,Srinivasa Bus stand ,Bus Terminal,,2222
ANDHRA PRADESH,Chittor,SZAPCHTTUDABSN,TUDA BSNL Exchange Tirupathi,Telephone exchange,,17
ANDHRA PRADESH,GUNTUR,SZAPGTRADLPTEX,Arundalpeta Telephone Exchange,Telephone exchange,,514
ANDHRA PRADESH,GUNTUR,SZAPGTRAMRVTRD,Amaravathi road.,Municipality,,173
ANDHRA PRADESH,GUNTUR,SZAPGTRAPSRTCB,Guntur APSRTC Bus stand,Bus Terminal,,7134
ANDHRA PRADESH,GUNTUR,SZAPGTRBPTLRSU,Baptla RSU,Municipality,,178
ANDHRA PRADESH,GUNTUR,SZAPGTRBSKRDLX,Balaji Talkies.,Office,,297
ANDHRA PRADESH,GUNTUR,SZAPGTRCHKPRSU,Chilakaluripeta,Municipality,,338
ANDHRA PRADESH,GUNTUR,SZAPGTRCLCTCMD,Collectorate Compound.,Municipality,Compound,439
ANDHRA PRADESH,GUNTUR,SZAPGTRGOVHOSP,Govt General Hospital,Hospital,,905
ANDHRA PRADESH,GUNTUR,SZAPGTRJKCNAGR,JKC Nagar,Municipality,,79
ANDHRA PRADESH,GUNTUR,SZAPGTRKTHPTEX,Kothapeta TE Guntur,,,86
ANDHRA PRADESH,GUNTUR,SZAPGTRLDGECTR,Lodge Centre,Municipality,Junction,570
ANDHRA PRADESH,GUNTUR,SZAPGTRMGLGRTE,Mangalagiri TE ,Municipality,,89
ANDHRA PRADESH,GUNTUR,SZAPGTRPBZRTEX,Patnam Bazar NBSNL,BSNL Office,,526
ANDHRA PRADESH,GUNTUR,SZAPGTRRSHIVLH,Rishi Vally Homes Guntur,Residential,,121
ANDHRA PRADESH,GUNTUR,SZAPGTRTENLIMW,Tenali  M/W,Municipality,,115
ANDHRA PRADESH,HYDERABAD,SZAPHYDAMRPTCS,CSC Ameerpet..,,,
ANDHRA PRADESH,HYDERABAD,SZAPHYDAPRTCJB,Jubilee Bus Station(JBS) Hyderabad,Bus Terminal,,3377
ANDHRA PRADESH,HYDERABAD,SZAPHYDAPRTCMG,Mahatma Gandhi Bus stand,Bus Terminal,,12356
ANDHRA PRADESH,HYDERABAD,SZAPHYDBIRLAMD,Birla Mandir,Historical Site,,223
ANDHRA PRADESH,HYDERABAD,SZAPHYDBIRLAPT,Birla Planetarium,Historical Site,Museum,14
ANDHRA PRADESH,HYDERABAD,SZAPHYDBIRLASM,Birla Science Museum,Historical Site,Museum,118
ANDHRA PRADESH,HYDERABAD,SZAPHYDBSBVNCS,BSNL Bhavan CSC,BSNL Bhavan,,171
ANDHRA PRADESH,HYDERABAD,SZAPHYDCCTOCSC,CSC CTO secunderabad..,,,56
ANDHRA PRADESH,HYDERABAD,SZAPHYDCHARMNR,Charminar,Historical Site,,1883
ANDHRA PRADESH,HYDERABAD,SZAPHYDCHRMRCS,CSC  Charminar Hyderabad..,Municipality,,69
ANDHRA PRADESH,HYDERABAD,SZAPHYDCSCGWGD,CSC Gowliguda Hyderbad,Municipality,,196
ANDHRA PRADESH,HYDERABAD,SZAPHYDCTOCSAD,CSC CTO Abids.,,,1011
ANDHRA PRADESH,HYDERABAD,SZAPHYDDSBVNCS,Door Sanchar Bhavan CSC,Door Sanchar Bhavan Office,,371
ANDHRA PRADESH,HYDERABAD,SZAPHYDERGDACS,CSC Erragadda,,,198
ANDHRA PRADESH,HYDERABAD,SZAPHYDGANDIHP,Ghandhi Hospital,Hospital,,1019
ANDHRA PRADESH,HYDERABAD,SZAPHYDHTDCSCT,HTD CSC Tolichoki ,BSNL Customer Service Center,,121
ANDHRA PRADESH,HYDERABAD,SZAPHYDJBHLSCS,CSC Jublee Hills  Hyderabad.,,,20
ANDHRA PRADESH,HYDERABAD,SZAPHYDKOMPALY,Kompally ,Municipality,,80
ANDHRA PRADESH,HYDERABAD,SZAPHYDKPHBCSC,CSC KPHB ,BSNL Customer Service Center,,154
ANDHRA PRADESH,HYDERABAD,SZAPHYDKRTABAD,CSC Khairatabad.,BSNL Customer Service Center,,392
ANDHRA PRADESH,HYDERABAD,SZAPHYDKSGDACS,CSC Kushaiguda -2,BSNL Customer Service Center,,2386
ANDHRA PRADESH,HYDERABAD,SZAPHYDLGMPLCS,CSC  Lingampally.,BSNL Customer Service Center,,362
ANDHRA PRADESH,HYDERABAD,SZAPHYDLUMBPRK,Lumbini Park,Park,,1381
ANDHRA PRADESH,HYDERABAD,SZAPHYDMDHPRCS,CSC Madhapur Hyderabad.,BSNL Customer Service Center,,20
ANDHRA PRADESH,HYDERABAD,SZAPHYDMEDCHAL,Medchal Suburb,Municipality,,35
ANDHRA PRADESH,HYDERABAD,SZAPHYDMSBADCS,CSC Musheerabad.,BSNL Customer Service Center,,
ANDHRA PRADESH,HYDERABAD,SZAPHYDNECLCRD,Necklace Road,Tourist Spot,,3774
ANDHRA PRADESH,HYDERABAD,SZAPHYDNIMSHSP,NIMS Hospital,Hospital,,1218
ANDHRA PRADESH,HYDERABAD,SZAPHYDPATNYCS,CSC Patny,,,66
ANDHRA PRADESH,HYDERABAD,SZAPHYDPJGTCSC,CSC  Paujagutta Hyderabad .,,,230
