Id,WurflId,91mobilesId
"1","Samsung Galaxy Grand 2 2014_january ","Samsung Galaxy Grand 2 2014_january "
"2","Sony E5653 Xperia M5 2015_september ","Sony Xperia M5 Dual 2015_september "
"3","Micromax Canvas Juice 2 2015_march ","Micromax Canvas Juice 2 2015_march "
"4","Samsung Galaxy A8 2015_august ","Samsung Galaxy A8 2015_august "
"5","Sony Xperia T2 Ultra 2014_march ","Sony Xperia T2 Ultra Dual 2014_march "
"6","Intex Aqua Star 4G 2015_december ","Intex Aqua Star 4G 2015_december "
"7","Samsung Galaxy Core 2 Duos 2014_july ","Samsung Galaxy Core 2 Duos 2014_july "
"8","Micromax Canvas Knight 2 2015_june ","Micromax Canvas Knight 2 4G 2015_june "
"9","Micromax Canvas Juice 3 2015_september ","Micromax Canvas Juice 3 Q392 2015_september "
"10","Nokia Lumia 640 XL 2015_april ","Microsoft Lumia 640 XL Dual SIM 2015_april "
"11","Sony Xperia Z2 2014_april ","Sony Xperia Z2 2014_april "
"12","Micromax Canvas Nitro 2 2015_may ","Micromax Canvas Nitro 2 E311 2015_may "
"13","Samsung Galaxy S6 2015_april ","Samsung Galaxy S6 32GB 2015_april "
"14","Micromax E481 Canvas 5 E481 2015_november ","Micromax Canvas 5 E481 3GB RAM 2015_november "
"15","Asus Z010D Zenfone Max 2016_january ","Asus Zenfone Max ZC550KL 2016_january "
"16","Samsung SM-G935F Galaxy S7 Edge 2016_march ","Samsung Galaxy S7 Edge 2016_march "
"17","Micromax Q417 Canvas Mega 4G 2015_december ","Micromax Canvas Mega 4G 2015_december "
"18","Micromax YU5510 Yu Yureka Plus 2015_july ","Yu Yureka Plus 2015_july "
"19","Lenovo P1ma40 Vibe P1m 2015_october ","Lenovo Vibe P1m 2015_october "
"21","Samsung Galaxy S5 2014_march ","Samsung Galaxy S5 16GB 2014_march "
"22","HTC Desire 620G 2014_december ","HTC Desire 620G 2014_december "
"23","Samsung Galaxy Note 4 Duos 2014_october ","Samsung Galaxy Note 4 2014_october "
"25","Sony C5 Ultra 2015_august ","Sony Xperia C5 Ultra Dual 2015_august "
"26","HTC Desire 820G+ 2015_june ","HTC Desire 820G+ Dual SIM 2015_june "
"27","Micromax Q414 Canvas Blaze 4G 2015_november ","Micromax Canvas Pace 4G Q416 2015_november "
"28","Lenovo A6000 Plus 2015_april ","Lenovo A6000 Plus 2015_april "
"29","Intex Cloud 4G Star 2015_august ","Intex Cloud 4G Star 2015_august "
"30","Sony Xperia Z3+ 2015_june ","Sony Xperia Z3+ 2015_june "
"31","Panasonic T45 T45 4G 2015_august ","Panasonic T45 4G 2015_august "
"32","Asus Z011D Zenfone 2 Laser 2015_december ","Asus Zenfone 2 Laser ZE601KL 2015_december "
"33","Sony Experia Z5 Premium 2015_november ","Sony Xperia Z5 Premium Dual 2015_november "
"35","Samsung Galaxy S4 2013_april ","Samsung Galaxy S4 2013_april "
"36","Samsung Galaxy E5 2015_january ","Samsung Galaxy E5 2015_january "
"37","Lava Pixel V1 2015_july ","Lava Pixel V1 2015_july "
"38","Micromax E353 Canvas Mega 2015_november ","Micromax Canvas Mega 2015_november "
"39","Lenovo S1a40 Vibe S1 2015_november ","Lenovo Vibe S1 2015_november "
"40","Samsung Galaxy Grand Prime 2014_october ","Samsung Galaxy Core Prime 2014_october "
"41","Samsung Galaxy Alpha 2014_september ","Samsung Galaxy Alpha 2014_september "
"42","Micromax Unite 2 2014_may ","Micromax Unite 2 2014_may "
"43","Spice Smart Flo 2015_june ","Spice Smart Flo Mi-403e 2015_june "
"44","Micromax Canvas Doodle 4 2015_may ","Micromax Canvas Doodle 4 Q391 2015_may "
