MobileId,priceRange,processor,display,primarycamera,battery,frontcamera
Xiaomi Redmi Note 3 2016_march,14690,Hexa Core,"5.5"" (13.97 cm)",16 MP,4050 mAh,5 MP
Vivo Y51L 2016_january,8747,Quad core,"5.0"" (12.7 cm)",8 MP,2350 mAh,5 MP
Samsung Galaxy On7 2015_november,8990,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Samsung Z3 2015_october,3999,Quad core,"5.0"" (12.7 cm)",8 MP,2600 mAh,5 MP
Micromax Canvas Juice 4G Q461 2016_january,5599,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,5 MP
Samsung Galaxy J7 2015_july,11700,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Micromax Canvas 5 E481 3GB RAM 2015_november,7299,Octa core,"5.2"" (13.21 cm)",13 MP,2900 mAh,5 MP
Samsung Galaxy A7 (2016) 2016_february,25701,Octa core,"5.5"" (13.97 cm)",13 MP,3300 mAh,5 MP
Oppo Neo 7 2015_november,7989,Quad core,"5.0"" (12.7 cm)",8 MP,2420 mAh,5 MP
Asus Zenfone Max ZC550KL 2016_january,8779,Quad core,"5.5"" (13.97 cm)",13 MP,5000 mAh,5 MP
Samsung Galaxy S7 Edge 2016_march,45090,Octa core,"5.5"" (13.97 cm)",12 MP,3600 mAh,5 MP
Apple iPhone 6 16GB 2014_october,27990,Dual core,"4.7"" (11.94 cm)",8 MP,1810 mAh,1.2 MP
Lenovo K3 Note 2015_june,8339,Octa core,"5.5"" (13.97 cm)",13 MP,2900 mAh,5 MP
Samsung Galaxy J3 2016 2016_march,7990,Quad core,"5.0"" (12.7 cm)",8 MP,2600 mAh,5 MP
Samsung Galaxy A5 2016 2016_february,21190,Octa core,"5.2"" (13.21 cm)",13 MP,2900 mAh,5 MP
Samsung Galaxy S7 2016_march,43190,Octa core,"5.1"" (12.95 cm)",12 MP,3000 mAh,5 MP
Oppo F1 2016_february,12990,Octa core,"5.0"" (12.7 cm)",13 MP,2500 mAh,8 MP
Micromax Canvas Mega 4G 2015_december,6999,Quad core,"5.5"" (13.97 cm)",13 MP,2500 mAh,5 MP
Yu Yureka Plus 2015_july,6220,Octa core,"5.5"" (13.97 cm)",13 MP,2500 mAh,5 MP
Samsung Galaxy Grand Prime 4G 2015_july,6211,Quad core,"5.0"" (12.7 cm)",8 MP,2600 mAh,5 MP
Apple iPhone 5s 16GB 2013_november,17419,Dual core,"4"" (10.16 cm)",8 MP,1560 mAh,1.2 MP
Samsung Galaxy J5 8GB 2015_july,10490,Quad core,"5.0"" (12.7 cm)",13 MP,2600 mAh,5 MP
XOLO Era 4G 2016_february,4999,Quad core,"5.0"" (12.7 cm)",5 MP,2500 mAh,2 MP
Samsung Galaxy On5 2015_november,7490,Quad core,"5.0"" (12.7 cm)",8 MP,2600 mAh,5 MP
HTC Desire 626 Dual SIM 2016_february,8999,Octa core,"5.0"" (12.7 cm)",13 MP,2000 mAh,5 MP
Oppo Neo 5 Dual SIM 16GB 2016_march,6089,Quad core,"4.5"" (11.43 cm)",8 MP,2000 mAh,2 MP
Lenovo A1000 2015_october,2999,Quad core,"4.0"" (10.16 cm)",5 MP,2000 mAh,0.3 MP
Xiaomi Mi4 16GB 2015_february,10999,Quad core,"5"" (12.7 cm)",13 MP,3080 mAh,8 MP
Lenovo Vibe P1m 2015_october,8490,Quad core,"5.0"" (12.7 cm)",8 MP,3900 mAh,5 MP
Gionee Elife S6 2016_february,16299,Octa core,"5.5"" (13.97 cm)",13 MP,3150 mAh,5 MP
LeEco Le 1s 2016_february,10999,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Micromax Canvas Juice 2 2015_march,4999,Quad core,"5.0"" (12.7 cm)",8 MP,3000 mAh,2 MP
Samsung Galaxy A8 2015_august,23990,Octa core,"5.7"" (14.48 cm)",16 MP,3050 mAh,5 MP
Lenovo Vibe K5 Plus 2016_march,9499,Octa core,"5.0"" (12.7 cm)",13 MP,2750 mAh,5 MP
Motorola Moto G Turbo 2015_december,8999,Octa core,"5.0"" (12.7 cm)",13 MP,2470 mAh,5 MP
OnePlus 2 64GB 2015_august,19999,Octa core,"5.5"" (13.97 cm)",13 MP,3300 mAh,5 MP
Yu Yuphoria 2015_may,6299,Quad core,"5.0"" (12.7 cm)",8 MP,2230 mAh,5 MP
Gionee M5 Lite 2016_january,10804,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,5 MP
HTC One M9 Plus 2015_may,21498,Octa core,"5.2"" (13.21 cm)",20 MP,2840 mAh,4 MP
Micromax Canvas Xpress 4G Q413 2015_november,6799,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
HTC Desire 728 Dual SIM 2015_december,11105,Octa core,"5.5"" (13.97 cm)",13 MP,2800 mAh,5 MP
Samsung Galaxy S5 16GB 2014_march,16999,Octa core,"5.1"" (12.95 cm)",16 MP,2800 mAh,2 MP
HTC Desire 826 2015_april,11599,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,13 MP
Samsung Galaxy A5 2015_january,13011,Quad core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
XOLO Era X 2016_february,5499,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,5 MP
Apple iPhone 6s 16GB 2015_october,42000,Dual core,"4.7"" (11.94 cm)",12 MP,1715 mAh,5 MP
Samsung Galaxy A7 2015_february,16111,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,5 MP
HTC Desire 620G 2014_december,5586,Octa core,"5.0"" (12.7 cm)",8 MP,2100 mAh,5 MP
Gionee Elife E8 2015_october,19927,Octa core,"6.0"" (15.24 cm)",23.7 MP,3520 mAh,8 MP
Lenovo A2010 2015_september,5110,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,2 MP
Samsung Z1 2015_january,3770,Dual core,"4.0"" (10.16 cm)",3.1 MP,1500 mAh,0.3 MP
Panasonic P55 Novo 16GB 2015_august,6299,Octa core,"5.3"" (13.46 cm)",13 MP,2500 mAh,5 MP
Samsung Galaxy Note 4 2014_october,39870,Quad core,"5.7"" (14.48 cm)",16 MP,3220 mAh,3.7 MP
InFocus Bingo 21 2016_february,4999,Quad core,"4.5"" (11.43 cm)",8 MP,2300 mAh,5 MP
Vivo V1 2015_july,11900,Quad core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
Karbonn K4000 Baahubali 2016_march,1419,Quad core,"2.4"" (6.1 cm)",1.3 MP,4000 mAh,5 MP
Samsung Metro B313 2015_june,1940,Quad core,"2"" (5.08 cm)",0.3 MP,1000 mAh,5 MP
Google Nexus 6P 32GB 2015_october,36990,Octa core,"5.7"" (14.48 cm)",12.3 MP,3450 mAh,8 MP
Xiaomi Mi4i 16GB 2015_april,11999,Octa core,"5.0"" (12.7 cm)",13 MP,3120 mAh,5 MP
Samsung Galaxy Core Prime 4G 2015_march,6499,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,2 MP
Asus Zenfone Selfie 16GB 2015_october,12100,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,13 MP
Samsung Guru Music 2 2014_july,1610,Single core,"2.0"" (5.08 cm)",13 MP,800 mAh,13 MP
Micromax Canvas Nitro 3 E455 2015_august,6599,Octa core,"5.0"" (12.7 cm)",13 MP,2500 mAh,5 MP
Honor 5X 2016_february,12099,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Intex Aqua 4G Strong 2016_february,4890,Quad core,"4.0"" (10.16 cm)",2 MP,1700 mAh,0.3 MP
Apple iPhone 5s 32GB 2013_november,40000,Dual core,"4.0"" (10.16 cm)",8 MP,1560 mAh,1.2 MP
Lava A88 2016_march,5300,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Samsung Galaxy J1 Ace 2015_september,5499,Dual core,"4.3"" (10.92 cm)",5 MP,1800 mAh,2 MP
Samsung Galaxy E7 2015_january,15900,Quad core,"5.5"" (13.97 cm)",13 MP,2950 mAh,5 MP
Panasonic Eluga Turbo 2016_january,7811,Octa core,"5.0"" (12.7 cm)",13 MP,2350 mAh,5 MP
Lenovo Vibe P1 2015_october,15499,Octa core,"5.5"" (13.97 cm)",13 MP,5000 mAh,5 MP
Gionee P5W 2016_january,5499,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Samsung Guru Plus B110E 2015_june,1485,Quad core,"1.5"" (3.81 cm)",5 MP,800 mAh,2 MP
Honor Holly 2 Plus 2016_february,8299,Quad core,"5.0"" (12.7 cm)",13 MP,4000 mAh,5 MP
Samsung Galaxy Grand 2 2014_january,9500,Quad core,"5.25"" (13.34 cm)",8 MP,2600 mAh,1.9 MP
Vivo V1 Max 2015_august,13330,Octa core,"5.5"" (13.97 cm)",13 MP,2720 mAh,5 MP
Motorola Moto X Force 2016_february,26990,Octa core,"5.4"" (13.72 cm)",21 MP,3760 mAh,5 MP
HTC Desire 820 2014_november,12400,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,8 MP
Sony Xperia M5 Dual 2015_september,24490,Octa core,"5.0"" (12.7 cm)",21.5 MP,2600 mAh,13 MP
Micromax Canvas Sliver 5 2015_july,7299,Quad core,"4.8"" (12.19 cm)",8 MP,2000 mAh,5 MP
Lenovo A7000 2015_april,8999,Octa core,"5.5"" (13.97 cm)",8 MP,2900 mAh,5 MP
Micromax Canvas Nitro 2 E311 2015_may,4999,Octa core,"5.0"" (12.7 cm)",13 MP,2400 mAh,5 MP
HTC One E9+ 2015_june,24999,Octa core,"5.5"" (13.97 cm)",20 MP,2800 mAh,4 MP
Good One Spark 2016_march,3899,Quad core,"5.0"" (12.7 cm)",8 MP,2150 mAh,5 MP
Nokia 230 Dual SIM 2015_december,4299,Quad core,"2.8"" (7.11 cm)",2 MP,1200 mAh,2 MP
Vivo Y28 2015_february,6994,Quad core,"4.7"" (11.94 cm)",8 MP,2100 mAh,5 MP
Samsung Galaxy S6 32GB 2015_april,33900,Octa core,"5.1"" (12.95 cm)",16 MP,2550 mAh,5 MP
Lenovo Phab Plus 2015_october,12999,Octa core,"6.8"" (17.27 cm)",13 MP,3500 mAh,5 MP
Lenovo Vibe X3 32GB 2016_january,26949,Hexa Core,"5.5"" (13.97 cm)",21 MP,3500 mAh,8 MP
Yu Yunique 2015_september,5295,Quad core,"4.7"" (11.94 cm)",8 MP,2000 mAh,2 MP
Micromax X910A 2015_december,1769,Quad core,"2.8"" (7.11 cm)",0.3 MP,4000 mAh,2 MP
Lenovo Vibe Shot 2015_october,16450,Octa core,"5.0"" (12.7 cm)",16 MP,2900 mAh,8 MP
Karbonn K9 Smart 2016_january,2949,Dual core,"5.0"" (12.7 cm)",3.2 MP,2300 mAh,1.3 MP
Asus Zenfone 2 Laser ZE550KL 2015_august,8499,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Micromax X606 2015_december,1099,Quad core,"2.2"" (5.59 cm)",0.3 MP,1000 mAh,5 MP
Sony Xperia C4 Dual 2015_june,17432,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,5 MP
Blackberry Priv 2016_january,31399,Hexa Core,"5.4"" (13.72 cm)",18 MP,3410 mAh,2 MP
Nokia N8 2010_october,10500,Hexa Core,"3.5"" (8.89 cm)",12 MP,1200 mAh,0.3 MP
Micromax Bolt Q335 2015_may,2400,Quad core,"4.5"" (11.43 cm)",5 MP,1650 mAh,2 MP
HTC Desire 828 Dual SIM 2015_december,13790,Octa core,"5.5"" (13.97 cm)",13 MP,2800 mAh,4 UP
