Id,sectionMap
1,Entertainment
2,Fashion
3,Food
4,Lifestyle
5,Trending
6,Biztech
7,Wedding
8,Eyeglasses
9,Sunglasses
Segmentb0,Section Name
Segmentb1,Madipakkam; Chennai
Segmentb2,Velachery; Chennai
Segmentb3,Wakad; Pune
Segmentb4,Baner; Pune
Segmentb5,Medavakkam; Chennai
Segmentb6,Whitefield Hope Farm Junction; Bangalore
Segmentb7,Horamavu; Bangalore
Segmentb8,Thoraipakkam OMR; Chennai
Segmentb9,Kondhwa; Pune
Segmentb10,KR Puram; Bangalore
Segmentb11,Dhayari; Pune
Segmentb12,Perungudi; Chennai
Segmentb13,Hadapsar; Pune
Segmentb14,Kothrud; Pune
Segmentb15,Vadgaon Budruk; Pune
Segmentb16,Bavdhan; Pune
Segmentb17,Mahadevapura; Bangalore
Segmentb18,Ramamurthy Nagar; Bangalore
Segmentb19,Jakkur; Bangalore
Segmentb20,Perumbakkam; Chennai
Segmentb21,Banaswadi; Bangalore
Segmentb22,Kovilambakkam; Chennai
Segmentb23,Rajarajeshwari Nagar; Bangalore
Segmentb24,Ambegaon Budruk; Pune
Segmentb25,Frazer Town; Bangalore
Segmentb26,Warje; Pune
Segmentb27,Marathahalli; Bangalore
Segmentb28,Hebbal; Bangalore
Segmentb29,Undri; Pune
Segmentb30,Madambakkam; Chennai
Segmentb31,Hennur; Bangalore
Segmentb32,CV Raman Nagar; Bangalore
Segmentb33,Aundh; Pune
Segmentb34,East Tambaram; Chennai
Segmentb35,Thanisandra; Bangalore
Segmentb36,Balewadi; Pune
Segmentb37,Sus; Pune
Segmentb38,Varthur; Bangalore
Segmentb39,Deccan Gymkhana; Pune
Segmentb40,ITPL; Bangalore
Segmentb41,Alandur; Chennai
Segmentb42,Pashan; Pune
Segmentb43,Pallavaram; Chennai
Segmentb44,Yeshwantpur; Bangalore
Segmentb45,Narayanapura on Hennur Main Road; Bangalore
Segmentb46,Kalyan Nagar; Bangalore
Segmentb47,Jalahalli; Bangalore
Segmentb48,Sarjapur Road Wipro To Railway Crossing; Bangalore
Segmentb49,Katraj; Pune
Segmentb50,Kengeri; Bangalore
Segmentb51,Ravet; Pune
Segmentb52,NIBM Annex Mohammadwadi; Pune
Segmentb53,Uttarahalli; Bangalore
Segmentb54,Ramagondanahalli; Bangalore
Segmentb55,Thiyagaraya Nagar; Chennai
Segmentb56,Tathawade; Pune
Segmentb57,Electronic City Phase 1; Bangalore
Segmentb58,Thiruvanmiyur; Chennai
Segmentb59,Kasavanahalli Off Sarjapur Road; Bangalore
Segmentb60,Pimple Gurav; Pune
Segmentb61,Chromepet; Chennai
Segmentb62,Rahatani; Pune
Segmentb63,Alandi; Pune
Segmentb64,Pimple Saudagar; Pune
Segmentb65,Andheri East; Mumbai
Segmentb66,Kharadi; Pune
Segmentb67,Bellandur; Bangalore
