id,states
0,canillo
1,la massana
2,encamp
3,andorra la vella
4,ordino
5,sant julia de loria
6,escaldes engordany
7,sharjah
8,umm al quwain
9,ras al khaimah
10,dubai
11,fujairah
12,abu dhabi
13,ajman
14,parvan
15,kabol
16,takhar
17,kapisa
18,helmand
19,vardak
20,oruzgan
21,panjshir
22,sar e pol
23,zabol
24,lowgar
25,baghlan
26,daykondi
27,kandahar
28,farah
29,paktia
30,kondoz
31,faryab
32,bamian
33,nangarhar
34,jowzjan
35,badakhshan
36,ghazni
37,balkh
38,herat
39,badghis
40,konar
41,nimruz
42,ghowr
43,samangan
44,nurestan
45,paktika
46,khowst
47,laghman
48,saint mary
49,saint george
50,saint john
51,barbuda
52,saint peter
53,saint philip
54,saint paul
55,redonda
56,elbasan
57,vlore
58,korce
59,tirane
60,durres
61,berat
62,kukes
63,gjirokaster
64,shkoder
65,fier
66,lezhe
67,diber
68,ararat
69,geghark'unik'
70,yerevan
71,syunik'
72,aragatsotn
73,tavush
74,vayots' dzor
75,shirak
76,kotayk'
77,lorri
78,armavir
79,moxico
80,luanda
81,benguela
82,huambo
83,lunda sul
84,malanje
85,namibe
86,huila
87,bie
88,cunene
89,cuanza sul
90,zaire
91,cuanza norte
92,bengo
93,lunda norte
94,cuando cubango
95,uige
96,cabinda
97,misiones
98,chubut
99,rio negro
100,jujuy
101,formosa
102,san juan
103,santiago del estero
104,san luis
105,tierra del fuego
106,corrientes
107,neuquen
108,buenos aires
109,salta
110,chaco
111,mendoza
112,la rioja
113,la pampa
114,entre rios
115,cordoba
116,catamarca
117,santa fe
118,tucuman
119,distrito federal
120,santa cruz
121,tirol
122,burgenland
123,wien
124,karnten
125,vorarlberg
126,salzburg
127,oberosterreich
128,niederosterreich
129,steiermark
130,western australia
131,victoria
132,tasmania
133,northern territory
134,south australia
135,new south wales
136,queensland
137,australian capital territory
138,xankandi
139,bilasuvar
140,cabrayil
141,calilabad
142,zaqatala
143,goranboy
144,agdam
145,quba
146,xocali
147,agstafa
148,lankaran
149,samux
150,ganca
151,qusar
152,haciqabul
153,mingacevir
154,masalli
155,astara
156,agcabadi
157,yardimli
158,xocavand
159,samkir
160,naftalan
161,baki
162,abseron
163,lacin
164,qax
165,saki
166,qazax
167,qobustan
168,ismayilli
169,gadabay
170,fuzuli
171,oguz
172,samaxi
173,imisli
174,zangilan
175,barda
176,xanlar
177,goycay
178,kalbacar
179,qubadli
180,xizi
181,agdas
182,zardab
183,tartar
184,salyan
185,yevlax
186,lerik
187,beylaqan
188,neftcala
189,lankaran
190,daskasan
191,ali bayramli
192,balakan
193,saki
194,yevlax
195,agsu
196,davaci
197,sumqayit
198,naxcivan
199,sabirabad
200,qabala
201,xacmaz
202,tovuz
203,ucar
204,siyazan
205,susa
206,susa
207,kurdamir
208,saatli
209,federation of bosnia and herzegovina
210,republika srpska
211,brcko district
212,saint philip
213,saint lucy
214,saint michael
215,saint andrew
216,saint george
217,saint john
218,saint thomas
219,saint james
220,saint joseph
221,saint peter
222,christ church
223,dhaka
224,rangpur
225,barisal
226,chittagong
227,sylhet
228,rajshahi
229,khulna
230,luxembourg
231,west vlaanderen
232,hainaut
233,namur
234,oost vlaanderen
235,brabant wallon
236,wallonia
237,flanders
238,vlaams brabant
239,brussels hoofdstedelijk gewest
240,limburg
241,antwerpen
242,liege
243,noumbiel
244,sanmatenga
245,ziro
246,namentenga
247,tapoa
248,bazega
249,seno
250,kadiogo
251,yagha
252,nayala
253,kourweogo
254,loroum
255,zoundweogo
256,kouritenga
257,leraba
258,zondoma
259,mouhoun
260,boulgou
261,gnagna
262,kenedougou
263,soum
264,oubritenga
265,komoe
266,sanguie
267,sissili
268,banwa
269,passore
270,koulpelogo
271,ganzourgou
272,houet
273,yatenga
274,poni
275,bam
276,oudalan
277,boulkiemde
278,komondjari
279,kompienga
280,sourou
281,gourma
282,kossi
283,bale
284,ioba
285,tuy
286,bougouriba
287,naouri
288,sofiya
289,shumen
290,silistra
291,smolyan
292,lovech
293,montana
294,veliko turnovo
295,khaskovo
296,sliven
297,burgas
298,stara zagora
299,blagoevgrad
300,vratsa
301,plovdiv
302,kurdzhali
303,dobrich
304,kyustendil
305,varna
306,grad sofiya
307,razgrad
308,pernik
309,pazardzhik
310,mikhaylovgrad
311,gabrovo
312,pleven
