Country code,StateCode,StateName
AD,2,Canillo
AD,4,La Massana
AD,3,Encamp
AD,7,Andorra la Vella
AD,5,Ordino
AD,6,Sant Julia de Loria
AD,8,Escaldes Engordany
AE,6,Sharjah
AE,7,Umm Al Quwain
AE,5,Ras Al Khaimah
AE,3,Dubai
AE,4,Fujairah
AE,1,Abu Dhabi
AE,2,Ajman
AF,40,Parvan
AF,13,Kabol
AF,26,Takhar
AF,14,Kapisa
AF,10,Helmand
AF,27,Vardak
AF,39,Oruzgan
AF,42,Panjshir
AF,33,Sar e Pol
AF,28,Zabol
AF,17,Lowgar
AF,3,Baghlan
AF,41,Daykondi
AF,23,Kandahar
AF,6,Farah
AF,36,Paktia
AF,24,Kondoz
AF,7,Faryab
AF,5,Bamian
AF,18,Nangarhar
AF,31,Jowzjan
AF,1,Badakhshan
AF,8,Ghazni
AF,30,Balkh
AF,11,Herat
AF,2,Badghis
AF,34,Konar
AF,19,Nimruz
AF,9,Ghowr
AF,32,Samangan
AF,38,Nurestan
AF,29,Paktika
AF,37,Khowst
AF,35,Laghman
AG,5,Saint Mary
AG,3,Saint George
AG,4,Saint John
AG,1,Barbuda
AG,7,Saint Peter
AG,8,Saint Philip
AG,6,Saint Paul
AG,9,Redonda
AL,43,Elbasan
AL,51,Vlore
AL,46,Korce
AL,50,Tirane
AL,42,Durres
AL,40,Berat
AL,47,Kukes
AL,45,Gjirokaster
AL,49,Shkoder
AL,44,Fier
AL,48,Lezhe
AL,41,Diber
AM,2,Ararat
AM,4,Geghark'unik'
AM,11,Yerevan
AM,8,Syunik'
AM,1,Aragatsotn
AM,9,Tavush
AM,10,Vayots' Dzor
AM,7,Shirak
AM,5,Kotayk'
AM,6,Lorri
AM,3,Armavir
AO,14,Moxico
AO,20,Luanda
AO,1,Benguela
AO,8,Huambo
AO,18,Lunda Sul
AO,12,Malanje
AO,13,Namibe
AO,9,Huila
AO,2,Bie
AO,7,Cunene
AO,6,Cuanza Sul
AO,16,Zaire
AO,5,Cuanza Norte
AO,19,Bengo
AO,17,Lunda Norte
AO,4,Cuando Cubango
AO,15,Uige
AO,3,Cabinda
AR,14,Misiones
AR,4,Chubut
AR,16,Rio Negro
AR,10,Jujuy
AR,9,Formosa
AR,18,San Juan
AR,22,Santiago del Estero
AR,19,San Luis
AR,23,Tierra del Fuego
AR,6,Corrientes
AR,15,Neuquen
AR,1,Buenos Aires
AR,17,Salta
AR,3,Chaco
AR,13,Mendoza
AR,12,La Rioja
AR,11,La Pampa
AR,8,Entre Rios
AR,5,Cordoba
AR,2,Catamarca
AR,21,Santa Fe
