Id,States
0,Canillo
1,La Massana
2,Encamp
3,Andorra la Vella
4,Ordino
5,Sant Julia de Loria
6,Escaldes Engordany
7,Sharjah
8,Umm Al Quwain
9,Ras Al Khaimah
10,Dubai
11,Fujairah
12,Abu Dhabi
13,Ajman
14,Parvan
15,Kabol
16,Takhar
17,Kapisa
18,Helmand
19,Vardak
20,Oruzgan
21,Panjshir
22,Sar e Pol
23,Zabol
24,Lowgar
25,Baghlan
26,Daykondi
27,Kandahar
28,Farah
29,Paktia
30,Kondoz
31,Faryab
32,Bamian
33,Nangarhar
34,Jowzjan
35,Badakhshan
36,Ghazni
37,Balkh
38,Herat
39,Badghis
40,Konar
41,Nimruz
42,Ghowr
43,Samangan
44,Nurestan
45,Paktika
46,Khowst
47,Laghman
48,Saint Mary
49,Saint George
50,Saint John
51,Barbuda
52,Saint Peter
53,Saint Philip
54,Saint Paul
55,Redonda
56,Elbasan
57,Vlore
58,Korce
59,Tirane
60,Durres
61,Berat
62,Kukes
63,Gjirokaster
64,Shkoder
65,Fier
66,Lezhe
67,Diber
68,Ararat
69,Geghark'unik'
70,Yerevan
71,Syunik'
72,Aragatsotn
73,Tavush
74,Vayots' Dzor
75,Shirak
76,Kotayk'
77,Lorri
78,Armavir
79,Moxico
80,Luanda
81,Benguela
82,Huambo
83,Lunda Sul
84,Malanje
85,Namibe
86,Huila
87,Bie
88,Cunene
89,Cuanza Sul
90,Zaire
91,Cuanza Norte
92,Bengo
93,Lunda Norte
94,Cuando Cubango
95,Uige
96,Cabinda
97,Misiones
98,Chubut
99,Rio Negro
100,Jujuy
101,Formosa
102,San Juan
103,Santiago del Estero
104,San Luis
105,Tierra del Fuego
106,Corrientes
107,Neuquen
108,Buenos Aires
109,Salta
110,Chaco
111,Mendoza
112,La Rioja
113,La Pampa
114,Entre Rios
115,Cordoba
116,Catamarca
117,Santa Fe
118,Tucuman
119,Distrito Federal
120,Santa Cruz
121,Tirol
122,Burgenland
123,Wien
124,Karnten
125,Vorarlberg
126,Salzburg
127,Oberosterreich
128,Niederosterreich
129,Steiermark
130,Western Australia
131,Victoria
132,Tasmania
133,Northern Territory
134,South Australia
135,New South Wales
136,Queensland
137,Australian Capital Territory
138,Xankandi
139,Bilasuvar
140,Cabrayil
141,Calilabad
142,Zaqatala
143,Goranboy
144,Agdam
145,Quba
146,Xocali
147,Agstafa
148,Lankaran
149,Samux
150,Ganca
151,Qusar
152,Haciqabul
153,Mingacevir
154,Masalli
155,Astara
156,Agcabadi
157,Yardimli
158,Xocavand
159,Samkir
160,Naftalan
161,Baki
162,Abseron
163,Lacin
164,Qax
165,Saki
166,Qazax
167,Qobustan
168,Ismayilli
169,Gadabay
170,Fuzuli
171,Oguz
172,Samaxi
173,Imisli
174,Zangilan
175,Barda
176,Xanlar
177,Goycay
178,Kalbacar
179,Qubadli
180,Xizi
181,Agdas
182,Zardab
183,Tartar
184,Salyan
185,Yevlax
186,Lerik
187,Beylaqan
188,Neftcala
189,Lankaran
190,Daskasan
191,Ali Bayramli
192,Balakan
193,Saki
194,Yevlax
195,Agsu
196,Davaci
197,Sumqayit
198,Naxcivan
199,Sabirabad
200,Qabala
201,Xacmaz
202,Tovuz
203,Ucar
204,Siyazan
205,Susa
206,Susa
207,Kurdamir
208,Saatli
209,Federation of Bosnia and Herzegovina
210,Republika Srpska
211,Brcko District
212,Saint Philip
213,Saint Lucy
214,Saint Michael
215,Saint Andrew
216,Saint George
217,Saint John
218,Saint Thomas
219,Saint James
220,Saint Joseph
221,Saint Peter
222,Christ Church
223,Dhaka
224,Rangpur
225,Barisal
226,Chittagong
227,Sylhet
228,Rajshahi
229,Khulna
230,Luxembourg
231,West Vlaanderen
232,Hainaut
233,Namur
234,Oost Vlaanderen
235,Brabant Wallon
236,Wallonia
237,Flanders
238,Vlaams Brabant
239,Brussels Hoofdstedelijk Gewest
240,Limburg
241,Antwerpen
242,Liege
243,Noumbiel
244,Sanmatenga
245,Ziro
246,Namentenga
247,Tapoa
248,Bazega
249,Seno
250,Kadiogo
251,Yagha
252,Nayala
253,Kourweogo
254,Loroum
255,Zoundweogo
256,Kouritenga
257,Leraba
258,Zondoma
259,Mouhoun
260,Boulgou
261,Gnagna
262,Kenedougou
263,Soum
264,Oubritenga
265,Komoe
266,Sanguie
