os Name,os Version,Code
Android,4.2,O0
Android,4.4,O1
Android,4.1,O2
Android,4,O3
Android,5,O4
Android,5.1,O5
Android,6,O6
Android,4.3,O7
iOS,7.1,O8
Android,2.3,O9
WindowsPhoneOs,8.1,O10
Ubuntu,,O11
iOS,5.1,O12
iOS,8.4,O13
WindowsPhoneOs,7.5,O14
iOS,8.0.2,O15
Undetermined,,O16
WindowsPhoneOS,8,O17
iOS,9.2,O18
iOS,8.2,O19
Tizen,2.3,O20
iOS,9.3,O21
iOS,5,O22
Windows,7,O23
iOS,8.1,O24
iOS,1,O25
iOS,10,O26
Windows,XP,O27
MacOSX,10.1,O28
Windows,8,O29
Linux,,O30
MacOSX,10.9,O31
MacOSX,10.6,O32
WindowsPhoneOs,10,O33
Android,2.2,O34
iOS,9,O35
RIMOS,10.2,O36
iOS,8.3,O37
iOS,8,O38
iOS,7,O39
iOS,9.1,O40
Android,0.5,O41
Windows,Vista,O42
iOS,4.3,O43
WindowsPhoneOS,10,O44
iOS,6.1,O45
iOS,4,O46
WindowsServer,2003,O47
Windows,XP64bit,O48
iOS,2,O49
WindowsRT,8.1,O50
Android,3.2,O51
iOS,3.2,O52
iOS,5,O53
MacOSX,10.8,O54
iOS,4.3.2,O55
Linux_smartphone_os,2.6.10,O56
WindowsPhoneOS,8,O57
Android,3,O58
Android,3.1,O59
RIMOS,10.1,O60
iOS,4.3.5,O61
iOS,6,O62
SymbianOS,,O63
WindowsPhoneOS,7,O64
MacOSX,,O65
iOS,2.2.1,O66
RIMOS,10,O67
Android,2,O68
RIMTabletOS,2.1,O69
iOS,4.3.3,O70
SymbianOS,9.2,O71
Windows,2000,O72
