lifestyle,Lifestyle,,,Seg1
entertainment,Arts & Entertainment,,,Seg2
technology,Technology & Computing,,,Seg3
travel,Travel,,,Seg4
news,News,,,Seg5
foodbeverages,Food And Drink,,,Seg6
sports,Sports,,,Seg7
festivals,/Arts & Entertainment/Festivals,,,Seg8
religion,Religion & Spirituality,,,Seg9
business,Business & Industrial,,,Seg10
education,Education,,,Seg11
_news_indianews,India News,,,Seg12
_entertainment_television,Television,,,Seg13
_travel_airlinetravel,Airline Travel,,,Seg14
_news_politics,Politics,,,Seg15
_entertainment_hindibollywood,Bollywood,,,Seg16
_lifestyle_womenlifestyle,Women 's Fashion,,,Seg17
_lifestyle_food,Food And Drink,,,Seg18
_technology_gaming,Video And Computer Games,,,Seg19
_foodbeverages_ccdlovers,Ccd Lovers,,,Seg20
_foodbeverages_mcdonaldlovers,Mcdonald Lovers,,,Seg21
_business_markets,Stocks,,,Seg22
astrology,Astrology,,,Seg23
_lifestyle_household,Home Furnishings,,,Seg24
_lifestyle_healthfitness,Health And Fitness,,,Seg25
_business_indiabusiness,India Business,,,Seg26
_foodbeverages_kfclovers,Kfc Lovers,,,Seg27
_technology_social,Social,,,Seg28
_foodbeverages_pizzahutlovers, Pizzahut Lovers,,,Seg29
_foodbeverages_baristalovers, Barista Lovers,,,Seg30
_entertainment_hindimusic, Hindi Music,,,Seg31
_sports_cricket, Cricket,,,Seg32
_lifestyle_fashion, Style And Fashion,,,Seg33
_technology_mobiles, Mobile Phones,,,Seg34
_entertainment_englishhollywood, Hollywood,,,Seg35
_business_companies, Companies,,,Seg36
_foodbeverages_costalovers, Costa Lovers,,,Seg37
_business_startups, Startups,,,Seg38
_travel_places, Tourist Destinations,,,Seg39
_business_internationalbusiness, International Business,,,Seg40
_entertainment_jokes, Jokes,,,Seg41
_technology_gadgets, Gadgets,,,Seg42
_lifestyle_beauty, Beauty,,,Seg43
_foodbeverages_haldiramlovers, Haldiram Lovers,,,Seg44
_lifestyle_books,Books And Literature,,,Seg45
_entertainment_englishmusic, English Music,,,Seg46
_technology_science, Science,,,Seg47
_technology_apps, Mobile Applications,,,Seg48
_technology_pcs, Desktop Applications,,,Seg49
_lifestyle_clothesaccessories, Clothing,,,Seg50
technewstechnology, Technology News,,,Seg51
_lifestyle_homegarden, Home And Garden,,,Seg52
_foodbeverages_cbtllovers, Cbtl Lovers,,,Seg53
news, News,,,Seg54
tech, Technology,,,Seg55
technology, Technology,,,Seg56
india,News,,,Seg57
_sports_hockey, Hockey,,,Seg58
_sports_football, Football,,,Seg59
_entertainment_tamilmovies, Tamil Movies,,,Seg60
Airlinetravel, Airline Travel,,,Seg61
_lifestyle_womenclothing, Women Clothing,,,Seg62
_sports_nba, Nba,,,Seg63
_travel_shopping, Shopping,,,Seg64
indianhistory, Indian History,,,Seg65
mobiletabs, Mobile Phones,,,Seg66
_sports_badminton, Badminton,,,Seg67
_technology_computing,Software,,,Seg68
_news_internationalnews,International News,,,Seg69
indianews,India News,,,Seg70
_lifestyle_jewellery,Jewelry,,,Seg71
_lifestyle_menclothing,Men's Fashion,,,Seg72
_fashion_sarees,Sarees,,,Seg73
_computers_ink___toner_cartridges,Ink & Toner Cartridges,,,Seg74
_tv__audio___large_appliances_televisions,Televisions,,,Seg75
_tv__audio___large_appliances_fans,Fans,,,Seg76
_computers_inkjet_printers,Inkjet Printers,,,Seg77
_tv__audio___large_appliances_imported_televisions,Imported Televisions,,,Seg78
_tv__audio___large_appliances_air_conditioners,Air Conditioners,,,Seg79
_tv__audio___large_appliances_dth,DTH,,,Seg80
_tv__audio___large_appliances_geysers,Geysers,,,Seg81
_tv__audio___large_appliances_washing_machine,Washing Machine,,,Seg82
_tv__audio___large_appliances_refrigerators,Refrigerators,,,Seg83
_tv__audio___large_appliances_immersion_rods,Immersion Rods,,,Seg84
_computers_laser_printers,Laser Printers,,,Seg85
_home___kitchen_double,Double,,,Seg86
_home___kitchen_window_curtains,Window Curtains,,,Seg87
_computers_scanners,Scanners,,,Seg88
_tv__audio___large_appliances_heaters,Appliances Heaters,,,Seg89
_home___kitchen_shower_curtains,Shower Curtains,,,Seg90
_appliances_coffee_makers,Coffee Makers,,,Seg91
_home___kitchen_king,king,,,Seg92
_home___kitchen_table_linen_sets,Table Linen Sets,,,Seg93
_home___kitchen_gloves,Gloves,,,Seg94
_home___kitchen_fleece___polar_blankets,Fleece and Polar Blankets,,,Seg95
_home___kitchen_woolen_blankets,Woolen Blankets,,,Seg96
_home___kitchen_bath_mats,Bath Mats,,,Seg97
_tv__audio___large_appliances_inverters,Inverters,,,Seg98
_home___kitchen_door_mats,Door Mats,,,Seg99
_home___kitchen_sofa_covers,Sofa Covers,,,Seg100
_tv__audio___large_appliances_stabilizers,Stabilizers,,,Seg101
_home___kitchen_pillow_covers,Pillow Covers,,,Seg102
_home___kitchen_aprons,Aprons,,,Seg103
_home___kitchen_bath_towel,Bath Towel,,,Seg104
_home___kitchen_table_covers,Table Covers,,,Seg105
_home___kitchen_door_curtains,Door Curtains,,,Seg106
tv__audio___large_appliances,TV Audio & Large Appliances,,,Seg107
fashion,Lifestyle,,,Seg108
computers,Technology and Computing ,,,Seg109
home___kitchen,Home And Garden,,,Seg110
appliances,Appliances,,,Seg111
_Mobile & Laptop Accessories_Mobile & Tablet Accessories_Case & Cover,/Mobile & Laptop Accessories/Mobile & Tablet Accessories/Case & Cover,,,Seg112
_news_indianews,/news/indianews,,,Seg113
_entertainment_hindibollywood,/entertainment/bollywood,,,Seg114
_news_politics,/news/politics,,,Seg115
_Home & Kitchen_Home Furnishing_Pillows & Cushions_Cushion Covers,/Home & Kitchen/Home Furnishing/Pillows & Cushions/Cushion Covers,,,Seg116
_business_indiabusiness,/business/indiabusiness,,,Seg117
_lifestyle_beauty,/lifestyle/beauty,,,Seg118
_Automotive_Bike Accessories_Safety & Utility_Body Covers,/Automotive/Bike Accessories/Safety & Utility/Body Covers,,,Seg119
_Mobile & Laptop Accessories_Mobile & Tablet Accessories_Other Accessories,/Mobile & Laptop Accessories/Mobile & Tablet Accessories/Other Accessories,,,Seg120
_Fashion_Women's Clothing_Ethnic Wear_Sarees,/Fashion/Women's Clothing/Ethnic Wear/Sarees,,,Seg121
_Mobile & Laptop Accessories_Computer Accessories_Laptop Accessories,/Mobile & Laptop Accessories/Computer Accessories/Laptop Accessories,,,Seg122
