_art.and.entertainment_books.and.literature_best-sellers_,Seg0
_art.and.entertainment_books.and.literature_children's.books_,Seg1
_art.and.entertainment_books.and.literature_e-books_,Seg2
_art.and.entertainment_books.and.literature_fan.fiction_,Seg3
_art.and.entertainment_books.and.literature_magazines_,Seg4
_art.and.entertainment_books.and.literature_mythology_,Seg5
_art.and.entertainment_books.and.literature_non-fiction_,Seg6
_art.and.entertainment_books.and.literature_poetry_,Seg7
_art.and.entertainment_books.and.literature_reference.books_,Seg8
_art.and.entertainment_books.and.literature_romance.novels_,Seg9
_art.and.entertainment_books.and.literature_science.fiction_,Seg10
_art.and.entertainment_books.and.literature_textbooks_,Seg11
_art.and.entertainment_books.and.literature_,Seg12
_art.and.entertainment_celebrity.fan.and.gossip_,Seg13
_art.and.entertainment_comics.and.animation_anime.and.manga_,Seg14
_art.and.entertainment_comics.and.animation_cartoons_,Seg15
_art.and.entertainment_comics.and.animation_comics_,Seg16
_art.and.entertainment_dance_ballet_,Seg17
_art.and.entertainment_dance_ballroom.dance_,Seg18
_art.and.entertainment_dance_belly.dance_,Seg19
_art.and.entertainment_dance_modern.dance_,Seg20
_art.and.entertainment_dance_pole.dancing_,Seg21
_art.and.entertainment_dance_,Seg22
_art.and.entertainment_humor_,Seg23
_art.and.entertainment_movies_film.festivals.and.awards_,Seg24
_art.and.entertainment_movies.and.tv_action_,Seg25
_art.and.entertainment_movies.and.tv_animated_,Seg26
_art.and.entertainment_movies.and.tv_bollywood_,Seg27
_art.and.entertainment_movies.and.tv_children's_,Seg28
_art.and.entertainment_movies.and.tv_classics_silent.films_,Seg29
_art.and.entertainment_movies.and.tv_classics_,Seg30
_art.and.entertainment_movies.and.tv_comedies_,Seg31
_art.and.entertainment_movies.and.tv_cult.classics_,Seg32
_art.and.entertainment_movies.and.tv_documentaries_,Seg33
_art.and.entertainment_movies.and.tv_dramas_,Seg34
_art.and.entertainment_movies.and.tv_horror_,Seg35
_art.and.entertainment_movies.and.tv_independent_,Seg36
_art.and.entertainment_movies.and.tv_movies_reviews_,Seg37
_art.and.entertainment_movies.and.tv_movies_trailers_,Seg38
_art.and.entertainment_movies.and.tv_movies_,Seg39
_art.and.entertainment_movies.and.tv_reality_,Seg40
_art.and.entertainment_movies.and.tv_romantic.comedies_,Seg41
_art.and.entertainment_movies.and.tv_talk.shows_,Seg42
_art.and.entertainment_movies.and.tv_television_,Seg43
_art.and.entertainment_movies.and.tv_thrillers_,Seg44
_art.and.entertainment_movies.and.tv_westerns_,Seg45
_art.and.entertainment_music_music.genres_blues_,Seg46
_art.and.entertainment_music_music.genres_classical.music_,Seg47
_art.and.entertainment_music_music.genres_country.music_,Seg48
_art.and.entertainment_music_music.genres_easy.listening_,Seg49
_art.and.entertainment_music_music.genres_electronic.music_,Seg50
_art.and.entertainment_music_music.genres_folk.music_,Seg51
_art.and.entertainment_music_music.genres_hip.hop_,Seg52
_art.and.entertainment_music_music.genres_jazz_,Seg53
_art.and.entertainment_music_music.genres_opera_,Seg54
_art.and.entertainment_music_music.genres_pop.music_,Seg55
_art.and.entertainment_music_music.genres_punk_,Seg56
_art.and.entertainment_music_music.genres_religious.music_,Seg57
_art.and.entertainment_music_music.genres_rock.music_,Seg58
_art.and.entertainment_music_music.genres_ska_,Seg59
_art.and.entertainment_music_music.genres_soul.music_,Seg60
_art.and.entertainment_music_music.genres_soundtracks_,Seg61
_art.and.entertainment_music_music.genres_world.music_,Seg62
_art.and.entertainment_music_music.reference_music.composition.and.theory_,Seg63
_art.and.entertainment_music_music.reference_sheet.music_,Seg64
_art.and.entertainment_music_musical.instruments_drums_,Seg65
_art.and.entertainment_music_musical.instruments_guitars_,Seg66
_art.and.entertainment_music_musical.instruments_pianos_,Seg67
_art.and.entertainment_music_musical.instruments_,Seg68
_art.and.entertainment_music_recording.industry_music.awards_,Seg69
_art.and.entertainment_music_recording.industry_record.labels_,Seg70
_art.and.entertainment_music_recording.industry_,Seg71
_art.and.entertainment_music_singing_,Seg72
_art.and.entertainment_music_,Seg73
_art.and.entertainment_radio_podcasts_,Seg74
_art.and.entertainment_radio_radio.programs_,Seg75
_art.and.entertainment_radio_talk.radio_,Seg76
_art.and.entertainment_radio_,Seg77
_art.and.entertainment_shows.and.events_beauty.contest_,Seg78
_art.and.entertainment_shows.and.events_circus_,Seg79
_art.and.entertainment_shows.and.events_classical.concert_,Seg80
_art.and.entertainment_shows.and.events_concert_,Seg81
_art.and.entertainment_shows.and.events_conference_,Seg82
_art.and.entertainment_shows.and.events_exhibition_,Seg83
_art.and.entertainment_shows.and.events_fair_,Seg84
_art.and.entertainment_shows.and.events_festival_,Seg85
_art.and.entertainment_shows.and.events_sports.event_,Seg86
_art.and.entertainment_theatre_theatre.awards_,Seg87
_art.and.entertainment_theatre_theatre.companies_,Seg88
_art.and.entertainment_theatre_,Seg89
_art.and.entertainment_visual.art.and.design_architecture_,Seg90
_art.and.entertainment_visual.art.and.design_art.and.craft.supplies_,Seg91
_art.and.entertainment_visual.art.and.design_art.museums.and.galleries_,Seg92
_art.and.entertainment_visual.art.and.design_arts.education_,Seg93
_art.and.entertainment_visual.art.and.design_design_graphic.design_,Seg94
_art.and.entertainment_visual.art.and.design_design_industrial.and.product.design_,Seg95
_art.and.entertainment_visual.art.and.design_design_interior.design_,Seg96
_art.and.entertainment_visual.art.and.design_design_,Seg97
_art.and.entertainment_visual.art.and.design_digital.art_,Seg98
_art.and.entertainment_visual.art.and.design_drawing_,Seg99
_art.and.entertainment_visual.art.and.design_painting_,Seg100
_art.and.entertainment_visual.art.and.design_performance.art_,Seg101
_art.and.entertainment_visual.art.and.design_restoration_,Seg102
_art.and.entertainment_visual.art.and.design_sculpture_,Seg103
_art.and.entertainment_visual.art.and.design_,Seg104
_art.and.entertainment__,Seg105
_automotive.and.vehicles_auto.parts_,Seg106
_automotive.and.vehicles_auto.repair_,Seg107
_automotive.and.vehicles_bicycles.and.accessories_mountain.bikes_,Seg108
_automotive.and.vehicles_bicycles.and.accessories_,Seg109
_automotive.and.vehicles_boats.and.watercraft_,Seg110
_automotive.and.vehicles_buying.and.selling.cars_,Seg111
_automotive.and.vehicles_campers.and.rvs_,Seg112
_automotive.and.vehicles_cars_car.culture_,Seg113
_automotive.and.vehicles_cars_car.industry_,Seg114
_automotive.and.vehicles_cars_convertible_,Seg115
_automotive.and.vehicles_cars_coupe_,Seg116
_automotive.and.vehicles_cars_crossover_,Seg117
_automotive.and.vehicles_cars_diesel_,Seg118
_automotive.and.vehicles_cars_hatchback_,Seg119
_automotive.and.vehicles_cars_hybrid_,Seg120
_automotive.and.vehicles_cars_luxury_,Seg121
